SGVhZCBHcmFwaGVuZSBYVCBJbnN0aW5jdCBNUA==,100,11.1,66,27.0,25
SGVhZCBHcmFwaGVuZSBYVCBJbnN0aW5jdCBT,102,10.0,71,27.0,26
SGVhZCBHcmFwaGVuZSBYVCBJbnN0aW5jdCBQV1I=,115,8.6,70,27.7,29
SGVhZCBHcmFwaGVuZSAzNjArIEluc3RpbmN0IFBXUg==,115,8.6,70,27.7,29
SGVhZCBHcmFwaGVuZSAzNjArIEV4dHJlbWUgUFdS,115,8.6,66,27.7,29
SGVhZCBHcmFwaGVuZSAzNjArIFNwZWVkIFBXUg==,115,9.7,69,27.4,26
SGVhZCBHcmFwaGVuZSAzNjAgSW5zdGluY3QgUFdS,115,8.7,70,27.7,29
SGVhZCBHcmFwaGVuZSAzNjAgUmFkaWNhbCBQV1I=,110,9.8,69,27.4,25
SGVhZCBHcmFwaGVuZSBYVCBJbnN0aW5jdCBQV1I=,115,8.6,70,27.7,29
SGVhZCBUaXRhbml1bSBUaS5TNiBTdHJ1bmc=,115,8.9,75,27.75,0
SGVhZCBUaXRhbml1bSBUaS5TNSBDb21mb3J0IFpvbmU=,107,8.5,68,27.75,0
RHVubG9wIEZYIDUwMA==,100,11.2,71,27.0,26
RHVubG9wIEZYIDUwMCBUb3Vy,98,11.4,69,27.0,23
RHVubG9wIEZYIDUwMCBMUw==,100,10.6,71,27.0,26
RHVubG9wIEZYIDUwMCBMaXRl,100,10.0,70,27.0,26
RHVubG9wIEZYIDcwMA==,107,9.8,68,27.5,27
RHVubG9wIFNYIDMwMCBUb3Vy,100,11.7,65,27.0,26
RHVubG9wIFNYIDMwMA==,100,11.3,65,27.0,26
RHVubG9wIFNYIDMwMCBMaXRl,100,10.2,67,27.0,26
RHVubG9wIFNYIDMwMCBMUw==,100,10.8,68,27.0,26
RHVubG9wIFNYIDYwMA==,105,10.2,66,27.25,26
RHVubG9wIENYIDIwMCBUb3VyIDE4eDIw,95,11.7,63,27.0,20
RHVubG9wIENYIDIwMCBUb3VyIDE2eDE5,95,11.5,64,27.0,20
RHVubG9wIENYIDIwMA==,98,11.4,65,27.0,21
RHVubG9wIENYIDIwMCs=,98,11.4,66,27.5,21
RHVubG9wIENYIDIwMCBMUw==,98,10.8,64,27.0,21
RHVubG9wIENYIDQwMA==,100,10.6,71,27.0,24
RHVubG9wIENTIDEwLjA=,115,9.5,76,27.5,28
QmFib2xhdCBQdXJlIERyaXZlIDIwMjE=,100,11.2,71,27.0,26
QmFib2xhdCBQdXJlIERyaXZlIDIwMTg=,100,11.2,71,27.0,26
QmFib2xhdCBQdXJlIERyaXZlIFRvdXI=,100,11.7,71,27.0,26
QmFib2xhdCBQdXJlIERyaXZlIFRvdXIgUGx1cw==,100,11.7,71,27.5,26
QmFib2xhdCBQdXJlIERyaXZlIFRlYW0=,100,10.7,70,27.0,26
QmFib2xhdCBQdXJlIERyaXZlIExpdGU=,100,10.1,69,27.0,26
QmFib2xhdCBQdXJlIERyaXZlIFBsdXM=,100,11.2,70,27.5,26
QmFib2xhdCBQdXJlIERyaXZlIDEwNw==,107,10.7,69,27.2,26
QmFib2xhdCBQdXJlIERyaXZlIDExMA==,110,9.6,69,27.6,26
QmFib2xhdCBQdXJlIERyaXZlIFZT,98,11.2,68,27.0,23
QmFib2xhdCBQdXJlIEFlcm8gVlM=,98,11.3,67,27.0,23
QmFib2xhdCBQdXJlIEFlcm8gVlMgMi1QYWNr,98,11.3,67,27.0,23
